UID,NOTES,Latitude,Longitude,ACRES,PROJECT_TYPE_2,POPUP NAME,POLYGON_LAYER_ID,TYPE,ORIGIN,ORIGIN_2,ORIGIN_3,Project_Status,STAT_NUM,STAT_DESCRP,DESCRIPTION,IMPACT,DISCUSSION,WATER_DELIVERY,STUDIES_PROJECTS,ESTB_PTOTO,ADDL_RESOURCES,ADDL_PHOTOS
24,,36.81186565,-118.1844102,460,Agriculture,Independence Pasturelands,Independence Pasturelands,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=205"">EIR Impact 12-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",Implemented and ongoing,50,"Site topography prevents flood irrigation from reaching some portions of the project; however, overall the project has achieved objectives. ",This formerly irrigated land had not successfully revegetated following the abandonment of agriculture. This was a significant adverse impact because these lands had lost vegetation and were the source of blowing dust.,The revegetation mitigates the impacts of dust in town caused by groundwater pumping and surface water diversions. It also provides irrigation for pasture or alfalfa.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/d0435c3dcbbe467e833bcec275218211/data,"<a href=""https://www.dropbox.com/sh/nhpj8oy8uo6sqjr/AAA9T8wun5BOFItqQz5RZPWYa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/cjectgvksxq4mv0/AACcxDnAZGZ0TG9iJGwH1QsCa?dl=0
25,,37.16986421,-118.2851897,25,Agriculture,Big Pine Northeast Regreening,Big Pine NE Regreening,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,"The project has developed a good cover of vegetation, which has reduced dust emissions affecting town.",This agricultural project was designed to enhance the aesthetics of abandoned agricultural or pasture lands in areas around Big Pine.,Enhances the aesthetics of abandoned agricultural or pasture lands in areas near town.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/9d86d0b208e14c0a8abd13303fa445fe/data,"<a href=""https://www.dropbox.com/sh/xspfhegn6tf6pun/AABCY9zmUbwtwQ79Eptd2pF2a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/1nou47f2jzmcgjp/AAB4fNM7NkCY7FSZfhFW8UoFa?dl=0
26,,37.4295343,-118.3654672,348,Recreation and Agriculture,McNally Ponds and Native Pasture,McNally Ponds and Native Pasture,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=371"">EIR Impact 10-18</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",Implemented and ongoing,50,"The ponds portion of the project has been supplied water approximately one in three year time since its inception. More often than not, 60 acres of open water is not achieved. The ponds portion of the project is under active review and alternatives are being considered. Water for the pasture that lies east and adjacent to the ponds is provided irrigation water when the Lower McNally Canal is run or when Well 247 is in On Status. Inconsistent water, uneven topography, and constructed berms have produced areas of patchy forage in the field. The pastureland associated with this project and located 2 miles to the southeast has developed and maintained healthy native grass. ","This recreation (ponds) and agricultural project (north and south pastures) provides a water supply to existing ephemeral ponds in the Laws area to create waterfowl habitat, and also provides water in the spring and summer to irrigate a total of 300 acres of native grass pastureland.",Sustains native pasture vegetation and provides water to 60 acres of ponds during the fall months for waterfowl habitat.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/16e6d78f84ef4b89a164e592fc62d3e5/data,"<a href=""https://www.dropbox.com/sh/1fjheryjl6e0nxl/AADefcF9nw5vyYqO1bMKeFBxa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/ogzna3btutdul8o/AAAxEQnwaLg33BbhFBvaQvmqa?dl=0
27,,37.33298751,-118.3903803,113,Revegetation,Bishop Area Revegetation,120 Acres near Bishop,"EIR, Revised, revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>",,,"Fully implemented, but not meeting goals",25,"Areas supplied with underground irrigation have developed a largely monocultural cover of native shrubs. Recruitment of new vegetation, a key measure of sustainability and a commitment in the 1999 Revegetation Plan, has not occurred. A large portion of the southern end of the project area remains barren. In response to above-normal precipitation and runoff in 2017 and 2023, vegetation—primarily rabbitbrush —has established on the western portion of the parcel.",This 120 acre revegetation project is intended to revegetate formerly irrigated lands with native Owens Valley vegetation. The completed project will not require sustained irrigation.,Mitigates the adverse impact of vegetation loss and blowing dust.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/49fc24e9a46d4851b9d3e0eed7b91972/data,"<a href=""https://www.dropbox.com/sh/9225ogbrp58x6ar/AADCTJKvPRoFG4a6v-5jwboha?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/jfkom39atali9pj/AADuGuL4w5HLU030GRLmJG5pa?dl=0
28,,36.74878667,-118.1644353,185,Agriculture,Shepherd Creek Alfalfa Field,Shepherd Creek Alfalfa Field,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",Implemented and ongoing,50,Alfalfa is planted and well maintained on approx. 185 acres.,"This agricultural project is intended to revegetate 198 acres of abandoned cropland adjacent to U.S. Highway 395. The alfalfa field is provided sprinkler irrigation. Portions of the project are protected by tree windbreaks. Historically, the property, which is located between Lone Pine and Independence, had only sparse annual vegetation and was a source of blowing dust causing a traffic hazard.",Mitigates the adverse impact of vegetation loss and blowing dust.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/224a9dd3f20644d49641d1ee9558cd57/data,"<a href=""https://www.dropbox.com/sh/z5m5z41kr1056ks/AAAHcqBoqQw8Tzs0HsyxD6Ita?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/ri2ee8v2mslqz9g/AAANYDa2CdKX8cbo_D9PPhlEa?dl=0
29,,36.81252201,-118.1447322,25,Habitat,Billy Lake,Billy Lake - LORP,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.C.3</a>","<a href=""https://inyowater.org/wp-content/uploads/legacy/LORP/DOCUMENTS/LORPFinalEIREIS.pdf"">LORP EIR 2.6, 8.1 - 4, & Table 2-22</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",Implemented and ongoing,50,"The project requires occasional emergent vegetation control to maintain open water and access. Billy Lake is managed under the LORP Monitoring, Adaptive Management, and Reporting Plan as an Off River Lake.","This habitat project, part of the Off-River Lakes and Ponds component of the Lower Owens River Project (LORP), will maintain and/or establish open water to sustain diverse habitat for fisheries, waterfowl, shorebirds, and other animals.",Creates diverse natural habitats and provides recreational opportunities.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/eb883a4e5db24aa7adff1f9c5422f2aa/data,"<a href=""https://www.dropbox.com/sh/i6tk9k27mtfu1wv/AADLWx4OaA0G-KsTWxDwlMDYa?dl=0"">Additional Resources</a>",
30,,36.91377134,-118.1927513,11,Habitat,Twin Lakes,Twin Lakes - LORP,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.C.3</a> LORP EIR 2.6, 8.1 - 4, & Table 2-23","<a href=""https://inyowater.org/wp-content/uploads/legacy/LORP/DOCUMENTS/LORPFinalEIREIS.pdf"">LORP EIR 2.6, 8.1 - 4, & Table 2-23</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",Implemented and ongoing,50,"Twin Lakes are managed under the LORP Monitoring, Adaptive Management, and Reporting Plan as Off River Lakes.The upper and lower Twin Lakes, are, like many other open water habitats in the Valley, frequently encroached and occluded by Bulrush and Cattail. ","This habitat project, part of the Off-River Lakes and Ponds component of the Lower Owens River Project (LORP), will maintain and/or establish open water to sustain diverse habitat for fisheries, waterfowl, shorebirds, and other animals. ","The goal of the LORP is the establishment of a healthy, functioning Lower Owens River riverine-riparian ecosystem, and the establishment of healthy functioning ecosystems in the other elements of the LORP, for the benefit of biodiversity and threatened and endangered species, while providing for the continuation of sustainable uses including recreation, livestock grazing, agriculture, and other activity",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/88f7abe15e0f40b7b0a54939db9c1953/data,"<a href=""https://www.dropbox.com/sh/i6tk9k27mtfu1wv/AADLWx4OaA0G-KsTWxDwlMDYa?dl=0"">Additional Resources</a>",
32,,36.88687335,-118.1817811,22,Habitat,Goose Lake,Goose Lake - LORP,"MOU, LORP","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.C.3</a> LORP EIR 2.6, 8.1 - 4, & Table 2-25","<a href=""https://inyowater.org/wp-content/uploads/legacy/LORP/DOCUMENTS/LORPFinalEIREIS.pdf"">LORP EIR 2.6, 8.1 - 4, & Table 2-25</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2014/04/LORP_MonitoringAdaptiveManagmentPlan_042808_Print_Small.pdf"">LORP MAMP</a>",Implemented and ongoing,50,"It was hoped that the establishment of permanent watered fish corridors between Goose Lake and the river could increase fish production in the lakes by allowing recruitment of fish from the river, as well as providing opportunities for lake and pond fish to feed and reproduce in the ditches between the lakes and the Aqueduct, and between the lakes and the river. However, this water body and associated conveyances, like many other open water habitats in the Valley, is frequently encroached upon and occluded by Bulrush and Cattail to the extent that fish migration is likely not possible with a tule management program. The area surrounding the lake and associated canals have been affected by extensive infestations of Tamarisk. This invasive weed and others are being treated as required. ","This habitat project, part of the Lower Owens River Project (LORP) Off-River Lakes and Ponds component, will maintain and/or establish open water to sustain diverse habitat for fisheries, waterfowl, shorebirds, and other animals. ",Creates and sustains aquatic and marsh habitat.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/a5f131994eca43d38dea8fcb86921375/data,"<a href=""https://www.dropbox.com/sh/i6tk9k27mtfu1wv/AADLWx4OaA0G-KsTWxDwlMDYa?dl=0"">Additional Resources</a>",
33,,37.39909767,-118.3460304,38,Agriculture,Laws Historical Museum Irrigated Pastures,Irrigated Pasture,E/M Projects EIR,"<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=202"">EIR Impact 10-18</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">EIR Table 5-3</a>",,Implemented and ongoing,50,Both fields are maintaining native vegetation suitable for grazing.,This agricultural project provides a regular water supply to two pastures on either side of the museum. The east field is provided water to irrigate 15 acres of pasture grass. The west field is a 21-acre irrigated pasture serving horses and mules. ,Provides irrigation to pastures used by livestock.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/70648173ab004dc38d4171345212aa35/data,"<a href=""https://www.dropbox.com/sh/xr81z7ab7x9zvs9/AAB6_BULUSFMXV3JJu1zgVbQa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/m7thx33yi94nvxj/AAA3qR_Tpq7w74u8J2pzDM-Ra?dl=0
35,,37.38049918,-118.3239728,64,Agriculture,Laws/Poleta Native Pasture,Laws-Poleta Native Pasture,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=200"">EIR Impact 10-16</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",Implemented and ongoing,50,"One pasture, 2.5 miles north of Laws and just east of Hwy. 6 (160 acres, parcel 44) has achieved good pasture cover on 65-70% of the eastern half of the parcel. The other 60-acre pasture two miles southeast of Laws (parcel 138) adjoins the McNally Ponds and Pasture project. Due to the configuration of release points and topography, not all of this pasture can be effectively irrigated. LADWP has reported that they couldn't separate this project’s water accounting from adjacent irrigated parcels.","Provides water for irrigation of 220 acres of sparsely vegetated land, in two seperate locations, to reestablish native vegetation on abandoned pasture lands and increase livestock grazing capabilities. ",Mitigates the adverse impact of vegetation loss and blowing dust and increases grazing capacity.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/80cdc1ecc3aa480683c54851b33176a0/data,"<a href=""https://www.dropbox.com/sh/d1sm2lp0y76u5bd/AACxty1ZQi2yn8HTHawfhQQza?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/5qswssccaple82d/AAA9lLwKHC9ZAE4EkxHWQkdSa?dl=0
36,,37.40076278,-118.3841048,54,Recreation,Farmers Pond,Farmer's Pond,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=202"">EIR Impact 10-18</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",Implemented and ongoing,50,"East of the main Farmers Pond are a series of four cascading spreading basins that drain overflow from the main Farmers Pond. These additional basins, which are typically dry, might be used as replacement or substitute mitigation for the McNally ponds. It is expected these additional ponds could be supplied annually, as opposed to the existing McNally Pond, which now receives water only when providing water would satisfy LADWP’s operational needs, and/or when nearby supply wells are in On Status. A formal mitigation substitute proposal will be developed and presented to the Technical Group. A substitute or replacement project would need to provide equal or greater mitigation value.",Water is provided in fall of each year to offer increased habitat for migrating waterfowl.,Supports seasonal habitat for migratory waterfowl. ,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/af8e7165d4d04fff9b7c7a106b44eaa6/data,"<a href=""https://www.dropbox.com/sh/5yr7nkwt9zmz37x/AACgfCsSlVJyN7BXZOWm0enQa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/g8pysht9hk6k43i/AAB0kceCzjyFww3-PVRedC89a?dl=0
37,,37.41208474,-118.4080503,18,Revegetation,Five Bridges Revegetation,Five Bridges Revegetation,"EIR, Revised, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=364"">EIR Impact 10-12</a>",,,"Fully implemented, but not meeting goals",25,"Since 1989, LADWP has undertaken various efforts to restore native riparian vegetation lost when nearby pumping significantly lowered the water table.  A conversion from Type D to Type C vegetation has taken place. Attempts to recover the site have been extensive. Plant cover and species richness goals have been met only when the site is irrigated; however, irrigation has the unintended effect of encouraging the pernicious weed perennial pepperweed (Lepidium latifolium). Extensive efforts, incorporating a combination of herbicides, mowing, varying water deliveries, and overplanting a cover crop, have failed, as have methods to reestablish riparian vegetation. The area remains weed-infested, which presents a significant barrier to future vegetation restoration. Frequent wildfires have further exacerbated the weed problem, which has resisted burning. The future of the project is currently under review as part of the MOU process, which was called for on June 30, 2023.",This revegetation project is intended to restore the area to resemble complex vegetation communities with similar species composition and cover at similar local sites.,Mitigates damages caused by groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/3109fa6dfd4e40cda0f29012a1ade022/data,"<a href=""https://www.dropbox.com/sh/0385iisef2nib1s/AACeiDNyUnDHfWVcDrn1vqfGa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/j0oek03hvhpdo31/AAAYpA-yjp6Gf1Ytnz_VSyMea?dl=0
39,,37.33868747,-118.3325909,37,Recreation,Buckley Ponds,Buckley Ponds,"Environmental Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=421"">EIR Impact 11-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a>",Implemented and ongoing,50,This main pond and string of other ponds were created in the 1950’s. In 1976 LADWP and CDFW created a Habitat Management Plan. The string of ponds were treated and excavated in 2012-14 to remove emergent vegetation.,This recreation project east of Bishop provides water to a warm-water fishery and waterfowl area.,Environmental project that sustains wildlife habitat and provides recreational opportunities.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/449552f9fac346a895435423edf7418a/data,"<a href=""https://www.dropbox.com/sh/46xwbrgetjhwe2y/AAAvFae6w_yzBmgfBnYROFOia?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/5508ep2nla6fhxb/AABRBwPLYUkYpTCUWWpdUKN_a?dl=0
40,,37.39469996,-118.3351092,34,Revegetation,140 Acres Near Laws Revegetation,Laws Area Revegetation 140,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=202"">EIR Impact 10-18</a>",,,"Fully implemented, but not meeting goals",25,"The project has had fits and starts of success, but the results have been uneven. LADWP has begun planting greenhouse grown native plants to the east of Laws Poleta Road. They have drilled seeded lands west of the Laws Poleta Road. ","This project will revegetate 140 acres in the Laws area, which has lost all or part of its vegetation cover due to increased groundwater pumping or abandonment of irrigation operations to supply the second aqueduct.",Mitigates damages from increased groundwater pumping or abandonment of irrigation operations to supply the second aqueduct.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/3d8939c92fce41baa55334d31a73bd31/data,"<a href=""https://www.dropbox.com/sh/84yadh1wyvj7jbm/AABDxbocSTYeFdetuyiEzls0a?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/vqzzw0v3h3s1k3a/AADhN4H-obY_U_ktrfUkfWn5a?dl=0
41,,37.20732261,-118.3042453,184,Habitat,Klondike Lake,Klondike Lake,"E/M Projects, EIR","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=358"">EIR Impact 10-5</a>, <a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=421"">11-1</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=112"">EIR Table 4-3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=131"">EIR Table 5-2</a> , <a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=132"">& 5-3</a>",Implemented and ongoing,50,"Motorized recreation on the lake has been limited to prevent the introduction of the freshwater Quagga Mussel. In 2004 the water supply allocated the lake was reduced from 2,500 to 1,700 acre-feet, while still requiring that LADWP maintain a described lake level, and also assure that native pasture and wetland habitats adjacent to Lyman ditch, which feeds the lake, were preserved. The 800 acre-feet difference was made up by providing water to seasonally fill the Big Pine Ditch, and by providing 200 acre-feet of water for flood irrigation immediately south of the Lake to attract shore birds and waterfowl.",This habitat project sustains a year-round water supply in this 160-acre formerly seasonal lakebed.,Provides waterfowl habitat and recreational opportunities.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/54e26c66cc2f4a049b3a9325c675e175/data,"<a href=""https://www.dropbox.com/sh/pekh9l4q3jwdi06/AADc6qn4Enn8vpbWJ9nuGofOa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/odmoevrq3crgjc6/AAA4tyIC87CnjZupKngnpWpEa?dl=0
42,,36.8027598,-118.1926712,,Civic EIR,Independence Ditch,,,"<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=373"">EIR Impact 10-19</a>",,,Implemented and ongoing,50,"The location of the ditch is poorly defined. It is most evident through the Independence Cemetery and near its drain into the Independence Pastureland and Springfield.  Water flows seasonally, although irregularly. ","This project will provide water to a ditch through Independence. After passing through town, the unused water may supply irrigation water to the Independence Pasturelands and/or Independence Springfield enhancement/mitigation projects.",Provides water for aesthetic improvement in town and for irrigation of pastures east of town.  ,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/4279cf9f6cb043f2a07bcad95ddc9701/data,"<a href=""https://www.dropbox.com/sh/62hq2el6lbhf27d/AADz5Hd8POQ53Cavh7wfaPIDa?dl=0"">Additional Resources</a>",
43,,37.16256963,-118.2720375,210,Revegetation,"Big Pine Area Revegetation, 160 Acres",160 Acres Near Big Pine,"EIR, Revised","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=373"">EIR Impact 10-19</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"The area has been drill seeded a number of times and portions of the parcel have developed germinal cover. Still, the majority of the field appears barren and blowing dust comes off the field. Because the perimeter shrubs are sparse and mixed with annual weeds, there will be a constant source of weed seeds from the bordering communities.","This 160 acre revegetation project is intended to develop a cover of plant species found in the surrounding areas. Because it is unknown what species existed on the site prior to agricultural use, it assumed the surrounding parcels represent the best estimate of those species that were present or could be used successfully to revegetate this area. ",Mitigates the damages caused by a decrease in plant cover caused by the abandonment of agriculture.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/9800e3d75bc04fa5a8aa85e551efac6a/data,"<a href=""https://www.dropbox.com/sh/fri1a9jkr94f0k0/AADz55JYr1_wP2gCFDnvMlOaa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/tqgkjvbltpyrls1/AAAZ6OwFS9pibXoOhT_YztlEa?dl=0
44,,37.17099619,-118.2372868,113,Agriculture,Steward Ranch,Steward Ranch,"EIR, Agriculture","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=292"">EIR Impact 9-13</a>",,,Completed,100,Completed.,"This agricultural project will fully compensate ranch owners on an annual basis for all reduced alfalfa production caused by a loss of well water, and for future costs of re-establishing any lost alfalfa.",Mitigates damages from lowered groundwater levels resulting in inoperable wells.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/70ba071414844724984e5585edbe9ea8/data,"<a href=""https://www.dropbox.com/sh/xa3z5528kbx5t6y/AACJv-KoFUaJY9JNWZ2w015fa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/2rz7fpvavbhq11a/AADmSCUtYeqjoJN4JKuGXkhka?dl=0
45,,37.09541054,-118.2566675,46,Recreation,Fish Springs Hatchery,Fish Springs Hatchery,"EIR, Environmental","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=366"">EIR Impact 10-14</a>",,,Implemented and ongoing,50,"The hatchery, operated since 1941 by the California Department of Fish and Wildlife provides stock trout to water bodies in Inyo and Mono Counties. Efforts are underway to assess water needs at the hatcheries to determine if water supply reductions can be made to conserve groundwater and still effectively run the fisheries operation.",This recreation and fish production project provides compensatory mitigation by cultivating trout that are stocked throughout the region.,"Mitigates damages caused by groundwater pumping which has reduced or eliminated spring flows from Fish Springs. Provides fish stock for area lakes, rivers, and streams. Rears fish stock for area lakes, rivers, and streams.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/031dc32415bd45b5b08b58a870fb85c8/data,"<a href=""https://www.dropbox.com/sh/9x9bgkq2g0bk8g7/AABCTkE1u9MlBzLP9m-RbGmea?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/6uqbieqrfytdw30/AAARyGDaQyqUh50Rv-wY5WpIa?dl=0
46,,36.97658982,-118.2205871,7,Revegetation,Blackrock 16E Revegetation,BLK16E,"EIR, Revised, Revegetation","<a href=""https://www.inyowater.org/wp-content/uploads/2017/08/91-EIR-Volume-I.pdf#page=196"">EIR Impact 10-11</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"LADWP has achieved native vegetation cover and composition only during wet years, but has not determined whether the vegetation is sustainable, as defined in the 1999 Revegetation Plan. Additionally, following years of drought, the water table in the area has declined. The expected return of grass cover has not occurred, and shrubs have become dominant. High flows during the 2023–2024 runoff year inundated the site and killed most of the shrubs. The future of the project is currently under review as part of the MOU process, which commenced in 2023.",This project is to revegetate land which lost a significant amount of its live native vegetation cover as a result of increased groundwater pumping.,Mitigates damages resulting from increased groundwater pumping.,,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/d0f0452d455449189560be54f6383507/data,"<a href=""https://www.dropbox.com/sh/cgimuibll4i7w39/AAD_PSbm4uhlt-MffoYZzgEBa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/cj1fvqthqhtpmgu/AACYU5Hr0IXxDBZiyvzuUaEVa?dl=0
47,,36.97199112,-118.2249687,100,Revegetation,Hines Spring South Revegetation,Hines Spring South,"EIR, Revised","<a href=""https://www.inyowater.org/documents/governing-documents/mou/"">MOU Section III.A.3</a>","<a href=""https://www.inyowater.org/wp-content/uploads/2020/08/1999-Revegetation-Plan-for-EIR.pdf"">Revegetation Plan</a>",,"Fully implemented, but not meeting goals",25,"This project is described in the 1999 revegetation plan, but put on hold until the Additional Mitigation projects at Hines Spring were implemented. A plan for this site was developed by LADWP in 2015 after the effects of water releases at the Hines Springs riparian projects were known. LADWP designated a 9 acre parcel within the 80 acre affected area as the focus of their effort. As of 2022, the northern portion of the site has achieved composition goals, but not cover criteria (LADWP 2021 Annual Report). LADWP disputes the area extent of their obligation to revegetate the site. LADWP claims their responsibility is to only manage a portion of the northern section of the project area that is mapped in the 91 EIR. However, under the subsequent  1999 revegetation plan and map, the agency is potentially responsible to assure revegetation in a substantially larger area. ",This revegetation project will restore approximately 80 acres of native vegetation that was lost when Hines Spring stopped flowing due to groundwater pumping. The native vegetation that is established is intended to be similar in density and species composition as that in unaffected nearby sites.,"Mitigates damages from groundwater pumping, which has lowered water depth to a level where springs and seeps no longer flow. It will serve as a research project on how to reestablish a damaged aquatic habitat.",,,,https://inyocounty.maps.arcgis.com/sharing/rest/content/items/5fc50f272aa047d0ac6eb2d9f555941a/data,"<a href=""https://www.dropbox.com/sh/3igqeqoiiuvngbk/AABm6eMPS1VyQyygOAiIzbDXa?dl=0"">Additional Resources</a>",https://www.dropbox.com/sh/58ybb62y2mvnwh8/AABZZFAW-294DB6nWUD-lb-ka?dl=0
